t, pose_x, pose_y, pose_theta, linear_displacement, linear_velocity, profile_displacement, profile_velocity, velocity_command_dx, velocity_command_dy, velocity_command_dtheta, steering_command_dx, steering_command_dy, steering_command_dtheta, cross_track_error, along_track_error, lookahead_point_x, lookahead_point_y, lookahead_point_velocity
1.9600000000000015, 55.0, 160.47789227569146, 1.5707963267948966, 142.4778922756915, 90.11018630827064, 142.61065874005777, 90.0, 90.10941526935972, 0.0, 0.0, 120.95578455138292, 0.0, 0.0, 52.47789227569146, 0.13276646436628425, 55.0, 39.52210772430854, 90.0
1.9700000000000015, 55.0, 161.37898642838505, 1.5707963267948966, 143.37898642838508, 90.10941526935972, 143.51065874005778, 90.0, 90.10864957731124, 0.0, 0.0, 122.7579728567701, 0.0, 0.0, 53.37898642838505, 0.13167231167270188, 55.0, 38.62101357161495, 90.0
1.9800000000000015, 55.0, 162.28007292415816, 1.5707963267948966, 144.2800729241582, 90.10864957731124, 144.41065874005778, 90.0, 90.10788919506716, 0.0, 0.0, 124.56014584831632, 0.0, 0.0, 54.28007292415816, 0.13058581589959317, 55.0, 37.71992707584184, 90.0
1.9900000000000015, 55.0, 163.18115181610884, 1.5707963267948966, 145.18115181610887, 90.10788919506716, 145.3106587400578, 90.0, 90.10713408582622, 0.0, 0.0, 126.36230363221767, 0.0, 0.0, 55.18115181610884, 0.1295069239489237, 55.0, 36.81884818389116, 90.0
2.0000000000000013, 55.0, 164.0822231569671, 1.5707963267948966, 146.08222315696713, 90.10713408582622, 146.21065874005777, 90.0, 90.10638421304225, 0.0, 0.0, 128.1644463139342, 0.0, 0.0, 56.0822231569671, 0.12843558309063496, 55.0, 35.9177768430329, 90.0
2.010000000000001, 55.0, 164.98328699909752, 1.5707963267948966, 146.98328699909754, 90.10638421304225, 147.11065874005774, 90.0, 90.1056395404224, 0.0, 0.0, 129.96657399819503, 0.0, 0.0, 56.983286999097515, 0.1273717409602, 55.0, 35.016713000902485, 90.0
2.020000000000001, 55.0, 165.88434339450174, 1.5707963267948966, 147.88434339450177, 90.1056395404224, 148.01065874005772, 90.0, 90.10490003192527, 0.0, 0.0, 131.76868678900348, 0.0, 0.0, 57.88434339450174, 0.1263153455559518, 55.0, 34.11565660549826, 90.0
2.0300000000000007, 55.0, 166.785392394821, 1.5707963267948966, 148.78539239482103, 90.10490003192527, 148.9106587400577, 90.0, 90.10416565175932, 0.0, 0.0, 133.570784789642, 0.0, 0.0, 58.785392394821, 0.12526634523666758, 55.0, 33.214607605179, 90.0
2.0400000000000005, 55.0, 167.6864340513386, 1.5707963267948966, 149.68643405133864, 90.10416565175932, 149.81065874005768, 90.0, 90.10343636438104, 0.0, 0.0, 135.37286810267722, 0.0, 0.0, 59.68643405133861, 0.12422468871903902, 55.0, 32.31356594866139, 90.0
2.0500000000000003, 55.0, 168.58746841498242, 1.5707963267948966, 150.58746841498245, 90.10343636438104, 150.71065874005765, 90.0, 90.10271213449325, 0.0, 0.0, 137.17493682996485, 0.0, 0.0, 60.587468414982425, 0.12319032507519978, 55.0, 31.412531585017575, 90.0
